year,performing_country,total_score,place,str,switzerland,denmark,france,germany,netherlands,austria,italy,united_kingdom,belgium,sweden,norway,finland,spain,portugal,ireland,malta,israel,greece,turkey,cyprus,iceland,slovenia,bosnia_and_herzegovina,croatia,estonia,romania,slovakia,lithuania,hungary,russia,poland,macedonia,latvia,ukraine
1999,croatia,118,4,final,0,0,7,10,1,8,0,0,5,1,0,0,12,6,6,5,7,0,8,2,4,12,8,0,3,0,0,6,0,0,7,0,0,0
1999,united_kingdom,38,12,final,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4,0,4,4,0,2,1,5,0,0,0,5,0,0,0,0,0,0
1999,slovenia,50,11,final,0,0,1,0,6,0,0,0,2,0,0,0,2,0,12,0,0,0,0,0,0,0,5,12,0,0,0,10,0,0,0,0,0,0
1999,turkey,21,16,final,0,0,5,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,norway,35,14,final,0,6,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0
1999,denmark,71,8,final,0,0,0,0,0,5,0,5,0,8,0,0,5,3,7,4,2,0,0,8,12,5,0,0,6,0,0,0,0,0,1,0,0,0
1999,france,14,19,final,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1999,netherlands,71,8,final,0,7,0,0,0,4,0,8,12,4,0,0,3,2,1,2,6,0,5,0,6,3,4,0,0,0,0,4,0,0,0,0,0,0
1999,poland,17,18,final,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0
1999,iceland,146,2,final,0,12,0,3,7,2,0,10,8,12,10,0,10,4,4,10,10,0,10,12,0,0,0,0,10,0,0,8,0,0,4,0,0,0
1999,cyprus,2,22,final,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,sweden,163,1,final,0,10,3,2,8,6,0,12,7,0,12,0,6,10,5,12,8,0,6,6,10,7,12,0,12,0,0,3,0,0,6,0,0,0
1999,portugal,12,21,final,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,ireland,18,17,final,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1999,austria,65,10,final,0,3,0,5,2,0,0,7,6,7,6,0,0,5,0,0,0,0,0,1,8,4,0,0,8,0,0,0,0,0,3,0,0,0
1999,israel,93,5,final,0,2,10,7,4,1,0,0,3,3,2,0,8,8,0,6,0,0,3,10,1,1,2,8,4,0,0,0,0,0,10,0,0,0
1999,malta,32,15,final,0,0,0,1,0,7,0,6,0,0,0,0,0,1,0,0,0,0,0,3,0,0,7,6,1,0,0,0,0,0,0,0,0,0
1999,germany,140,3,final,0,5,8,0,12,10,0,1,10,2,3,0,7,12,0,3,12,0,12,0,5,6,10,3,7,0,0,0,0,0,12,0,0,0
1999,bosnia_and_herzegovina,86,7,final,0,8,6,8,3,12,0,0,1,6,7,0,0,0,0,0,0,0,7,0,3,10,0,10,0,0,0,0,0,0,5,0,0,0
1999,estonia,90,6,final,0,4,4,6,5,3,0,3,4,10,5,0,1,7,8,7,1,0,0,0,2,8,3,0,0,0,0,1,0,0,8,0,0,0
2000,israel,7,22,final,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,netherlands,40,13,final,0,0,2,1,0,0,0,0,8,0,0,0,4,0,1,5,8,0,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2000,united_kingdom,28,16,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6,3,0,0,0,4,2,3,0,0,0,0,0,0,3,0
2000,estonia,98,4,final,0,4,0,5,7,3,0,4,2,6,4,8,0,0,7,7,6,0,2,6,5,0,0,6,0,6,0,0,0,0,0,0,10,0
2000,france,5,23,final,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2000,romania,25,17,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,12,0,0
2000,malta,73,8,final,0,3,0,3,1,2,0,2,1,3,2,0,1,0,3,0,3,0,5,8,0,0,0,8,1,7,0,0,0,8,0,8,4,0
2000,norway,57,11,final,0,7,0,0,0,0,0,3,0,7,0,0,0,0,4,3,7,0,10,0,7,0,0,0,3,0,0,0,0,0,0,0,6,0
2000,russia,155,2,final,2,6,5,4,0,7,0,8,7,5,8,5,5,0,10,12,10,0,0,12,8,0,0,12,10,12,0,0,0,0,0,7,0,0
2000,belgium,2,24,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2000,cyprus,8,21,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0
2000,iceland,45,12,final,0,12,0,0,0,0,0,0,0,8,7,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0
2000,spain,18,18,final,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,2,0,0,0,0
2000,denmark,195,1,final,10,0,7,12,10,10,0,12,10,12,10,10,10,0,12,8,12,0,1,4,12,0,0,0,8,1,0,0,0,12,0,0,12,0
2000,germany,96,5,final,12,2,10,0,8,12,0,5,6,0,3,2,12,0,5,0,0,0,0,0,6,0,0,1,0,0,0,0,0,4,0,0,8,0
2000,switzerland,14,20,final,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0
2000,croatia,70,9,final,6,0,8,6,0,6,0,0,0,0,0,6,2,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,10,0,10,0,0
2000,sweden,88,7,final,3,10,1,8,0,0,0,6,5,0,5,7,6,0,6,4,0,0,12,0,4,0,0,0,5,0,0,0,0,0,0,6,0,0
2000,macedonia,29,15,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,10,0,0,0,7,0,0,0,0
2000,finland,18,18,final,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0
2000,latvia,136,3,final,7,8,3,7,4,8,0,7,12,10,12,12,7,0,8,0,4,0,0,1,10,0,0,0,12,0,0,0,0,1,0,3,0,0
2000,turkey,59,10,final,5,1,12,10,12,5,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
2000,ireland,92,6,final,8,5,4,0,3,4,0,10,4,4,6,1,3,0,0,10,2,0,7,7,2,0,0,5,4,2,0,0,0,0,0,0,1,0
2000,austria,34,14,final,4,0,0,2,0,0,0,1,0,0,0,3,8,0,2,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0
2001,netherlands,16,18,final,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
2001,iceland,3,22,final,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,bosnia_and_herzegovina,29,14,final,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0
2001,norway,3,22,final,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,israel,25,16,final,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2001,russia,37,12,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,5,0,0,0,4,0,0,10,0,0,0,0,8,0
2001,sweden,100,5,final,0,10,2,0,0,0,0,8,0,0,2,0,5,5,8,8,8,0,8,0,7,0,3,4,7,0,0,2,0,2,5,0,6,0
2001,lithuania,35,13,final,0,0,0,0,5,0,0,4,0,1,0,0,0,0,1,0,4,0,0,0,1,2,2,0,0,0,0,0,0,10,0,0,5,0
2001,latvia,16,18,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0
2001,croatia,42,10,final,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,7,10,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0
